System,Online,Domain_0,Domain_1,Domain_2,Domain_3,Tech_0,Tech_1,Tech_2,Tech_3,FDC,FBD,PLO,Ske,Kur,CL,MIE,NBC,MAPE,RD,Model,perf
7z,1.0,0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0636993715353984,3.0,-0.0055620425085369,0.0002107691920492,0.0117707631457584,-0.1807338565410265,-0.0004489703434378,0.0243030175481552,0.4877708601311475,561.4571878843789,RF,4288.906666666667
7z,1.0,0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0611783849710051,1.5,0.0099130497423855,0.0007137022591376,0.0093213330538013,1.3272133615820234,0.0370543921357442,-0.324941217169914,0.474472701783474,613.6455181426815,DT,4290.553333333333
7z,1.0,0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0616193134983365,5.0,-0.0068074299624115,-2.708172294208023,-8.95607020981019,0.4592889438638208,0.0593082174802339,0.0376200450082271,150.95366738706073,9413.22856703567,LR,4296.6866666666665
7z,1.0,0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.1328515814181176,7.0,-0.0067459293474053,-2.0805001653908595,-8.860819435950123,-0.0454960353423894,0.0103456660771514,0.033288553272187,61.91440949581263,7107.55184501845,SVR,4315.613333333333
7z,1.0,0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.4768218748791666,6.0,0.0008647717596057,-2.017130209064268,252.75764331160525,-3.004745663575236,-0.0432631556705354,-0.016846451016397,1115.3832071510485,12343.364629458794,GP,4290.453333333333
7z,1.0,0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0602142321085071,5.0,-0.0071303081911938,-2.7085464755259885,-8.959402447384301,-0.0034660046415035,0.0583780753706317,0.0444201011791209,150.5883903679507,9427.633963714638,SPLConqueror,4296.986666666668
7z,1.0,0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.038500513633547,1.0,0.015117539287281,0.0008461539252846,0.0118519341330838,1.6835348894190698,0.0104155383825146,-0.3706752327982235,0.4666588787128731,602.6640682656827,DECART,4293.006666666666
7z,1.0,0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.1687878672726042,4.0,-0.0060309846979588,0.0062964845953459,0.1114234564975564,-0.141101829615132,-0.0189635394806753,0.027375570860824,99.97602853896838,2071.758986777368,DeepPerf,4290.3133333333335
7z,1.0,0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.1844298607294812,3.0,-0.0067920548086599,0.0085860127023917,0.1032128823807632,-0.0599142566531631,0.0029138496672072,0.0366889085363638,8.019253994953022,2226.9689268142683,HINNPerf,4286.346666666666
7z,1.0,0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0870000502092696,3.0,-0.0059079834679466,0.009351398524394,0.1005414025355957,-0.0808424845619963,-0.0257166703922013,0.0309933327780476,5.408502357328064,1945.1535209102087,DaL,4289.699999999999
7z,1.0,0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0636993715353984,3.0,-0.0055620425085369,0.0002107691920492,0.0117707631457584,-0.1807338565410265,-0.0004489703434378,0.0243030175481552,0.4877708601311475,561.4571878843789,RF,4416.453333333334
7z,1.0,0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0611783849710051,1.5,0.0099130497423855,0.0007137022591376,0.0093213330538013,1.3272133615820234,0.0370543921357442,-0.324941217169914,0.474472701783474,613.6455181426815,DT,4406.6866666666665
7z,1.0,0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0616193134983365,5.0,-0.0068074299624115,-2.708172294208023,-8.95607020981019,0.4592889438638208,0.0593082174802339,0.0376200450082271,150.95366738706073,9413.22856703567,LR,4455.56
7z,1.0,0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.1328515814181176,7.0,-0.0067459293474053,-2.0805001653908595,-8.860819435950123,-0.0454960353423894,0.0103456660771514,0.033288553272187,61.91440949581263,7107.55184501845,SVR,4426.886666666667
7z,1.0,0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.4768218748791666,6.0,0.0008647717596057,-2.017130209064268,252.75764331160525,-3.004745663575236,-0.0432631556705354,-0.016846451016397,1115.3832071510485,12343.364629458794,GP,4472.5
7z,1.0,0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0602142321085071,5.0,-0.0071303081911938,-2.7085464755259885,-8.959402447384301,-0.0034660046415035,0.0583780753706317,0.0444201011791209,150.5883903679507,9427.633963714638,SPLConqueror,4441.719999999999
7z,1.0,0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.038500513633547,1.0,0.015117539287281,0.0008461539252846,0.0118519341330838,1.6835348894190698,0.0104155383825146,-0.3706752327982235,0.4666588787128731,602.6640682656827,DECART,4417.913333333333
7z,1.0,0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.1687878672726042,4.0,-0.0060309846979588,0.0062964845953459,0.1114234564975564,-0.141101829615132,-0.0189635394806753,0.027375570860824,99.97602853896838,2071.758986777368,DeepPerf,4399.346666666666
7z,1.0,0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.1844298607294812,3.0,-0.0067920548086599,0.0085860127023917,0.1032128823807632,-0.0599142566531631,0.0029138496672072,0.0366889085363638,8.019253994953022,2226.9689268142683,HINNPerf,4421.666666666667
7z,1.0,0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0870000502092696,3.0,-0.0059079834679466,0.009351398524394,0.1005414025355957,-0.0808424845619963,-0.0257166703922013,0.0309933327780476,5.408502357328064,1945.1535209102087,DaL,4404.713333333332
7z,1.0,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0636993715353984,3.0,-0.0055620425085369,0.0002107691920492,0.0117707631457584,-0.1807338565410265,-0.0004489703434378,0.0243030175481552,0.4877708601311475,561.4571878843789,RF,4296.486666666667
7z,1.0,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0611783849710051,1.5,0.0099130497423855,0.0007137022591376,0.0093213330538013,1.3272133615820234,0.0370543921357442,-0.324941217169914,0.474472701783474,613.6455181426815,DT,4295.200000000001
7z,1.0,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0616193134983365,5.0,-0.0068074299624115,-2.708172294208023,-8.95607020981019,0.4592889438638208,0.0593082174802339,0.0376200450082271,150.95366738706073,9413.22856703567,LR,4461.08
7z,1.0,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.1328515814181176,7.0,-0.0067459293474053,-2.0805001653908595,-8.860819435950123,-0.0454960353423894,0.0103456660771514,0.033288553272187,61.91440949581263,7107.55184501845,SVR,4550.413333333333
7z,1.0,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.4768218748791666,6.0,0.0008647717596057,-2.017130209064268,252.75764331160525,-3.004745663575236,-0.0432631556705354,-0.016846451016397,1115.3832071510485,12343.364629458794,GP,4489.513333333333
7z,1.0,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0602142321085071,5.0,-0.0071303081911938,-2.7085464755259885,-8.959402447384301,-0.0034660046415035,0.0583780753706317,0.0444201011791209,150.5883903679507,9427.633963714638,SPLConqueror,4475.4400000000005
7z,1.0,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.038500513633547,1.0,0.015117539287281,0.0008461539252846,0.0118519341330838,1.6835348894190698,0.0104155383825146,-0.3706752327982235,0.4666588787128731,602.6640682656827,DECART,4328.086666666667
7z,1.0,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.1687878672726042,4.0,-0.0060309846979588,0.0062964845953459,0.1114234564975564,-0.141101829615132,-0.0189635394806753,0.027375570860824,99.97602853896838,2071.758986777368,DeepPerf,4549.2
7z,1.0,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.1844298607294812,3.0,-0.0067920548086599,0.0085860127023917,0.1032128823807632,-0.0599142566531631,0.0029138496672072,0.0366889085363638,8.019253994953022,2226.9689268142683,HINNPerf,4328.926666666666
